file,ref,name
./data/work-in-progress/44_9/kasten_blau_44_9_0164.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0171.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0184.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0185.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0189.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0191.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0193.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0197.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0199.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0217.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0219.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0228.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0231.xml,#,o.O.
./data/work-in-progress/44_9/kasten_blau_44_9_0233.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0237.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0238.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0239.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0240.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0242.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0243.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0246.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0248.xml,#emt_place_id__13,Düsseldorf
./data/work-in-progress/44_9/kasten_blau_44_9_0250.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0256.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0258.xml,#emt_place_id__63,Wien
./data/work-in-progress/44_9/kasten_blau_44_9_0261.xml,#emt_place_id__7,Bensberg
